policyVersion,regionDatasetVersion,groupKey,latitude,longitude
2026-09-02-v1,2026-07-01,BASIC_REGION:41590,37.18794996,126.96498265
2026-09-02-v1,2026-07-01,BASIC_REGION:41610,37.39839957,127.25952603
2026-09-02-v1,2026-07-01,BASIC_REGION:41630,37.82028733,127.03338120
2026-09-02-v1,2026-07-01,BASIC_REGION:41650,37.93900849,127.23188723
2026-09-02-v1,2026-07-01,BASIC_REGION:41670,37.31002731,127.60433674
2026-09-02-v1,2026-07-01,BASIC_REGION:41800,38.07059559,127.00789038
2026-09-02-v1,2026-07-01,BASIC_REGION:41820,37.80217690,127.43680331
2026-09-02-v1,2026-07-01,BASIC_REGION:41830,37.50897850,127.54858534
2026-09-02-v1,2026-07-01,BASIC_REGION:43110,36.63120131,127.47867792
2026-09-02-v1,2026-07-01,BASIC_REGION:43130,36.99805716,127.90511783
2026-09-02-v1,2026-07-01,BASIC_REGION:43150,37.09358137,128.17954203
2026-09-02-v1,2026-07-01,BASIC_REGION:43720,36.48133334,127.72360890
2026-09-02-v1,2026-07-01,BASIC_REGION:43730,36.31976258,127.64721118
2026-09-02-v1,2026-07-01,BASIC_REGION:43740,36.16262826,127.81244454
2026-09-02-v1,2026-07-01,BASIC_REGION:43745,36.79717367,127.60495316
2026-09-02-v1,2026-07-01,BASIC_REGION:43750,36.88169391,127.44421275
2026-09-02-v1,2026-07-01,BASIC_REGION:43760,36.79746280,127.81932392
2026-09-02-v1,2026-07-01,BASIC_REGION:43770,36.97279766,127.60518048
2026-09-02-v1,2026-07-01,BASIC_REGION:43800,36.99337132,128.36479028
2026-09-02-v1,2026-07-01,BASIC_REGION:44130,36.80915148,127.16876527
2026-09-02-v1,2026-07-01,BASIC_REGION:44150,36.46448455,127.09698315
2026-09-02-v1,2026-07-01,BASIC_REGION:44180,36.34783910,126.59112415
2026-09-02-v1,2026-07-01,BASIC_REGION:44200,36.79869357,126.98578180
2026-09-02-v1,2026-07-01,BASIC_REGION:44210,36.78443968,126.46367010
2026-09-02-v1,2026-07-01,BASIC_REGION:44230,36.19344044,127.12562180
2026-09-02-v1,2026-07-01,BASIC_REGION:44250,36.28060127,127.24053542
2026-09-02-v1,2026-07-01,BASIC_REGION:44270,36.88859115,126.66213041
